#Supplementary Table S2. Response of gene expression 48hr after induction of transcription factors in mouse ES cells
#All gene expression changes here are significant (FDR<=0.05 and fold change>1.5).
#Logratio is for average of Cy3/Cy5 (or Dox- vs Dox+ )
#Fold Change is logratio converted (i.e., 10**(logratio))

Transcription factor	Gene_symbol	Logratio(log10)	Fold change
Nkx2-5	Enah	-0.486	0.3265
Nrip1	Enah	-0.2522	0.5594
Sox9	Enah	-0.2228	0.5986
Tbx5	Enah	-0.178	0.6637
Tcf3	Enah	-0.2506	0.5615
Ascl1	Enc1	-0.222	0.5997
Ascl2	Enc1	-0.1883	0.6481
Cdx2	Enc1	-0.3054	0.4949
Eomes	Enc1	-0.2476	0.5654
Esx1	Enc1	-0.3926	0.4049
Gbx2	Enc1	-0.2129	0.6124
Klf4	Enc1	-0.1787	0.6626
Myod1	Enc1	-0.2714	0.5353
Sfpi1	Enc1	-0.3262	0.4718
Ascl1	Endod1	0.2234	1.672
Ascl2	Endod1	0.2183	1.653
Bcl6	Endod1	0.2718	1.869
Dlx3	Endod1	0.4137	2.592
Elf1	Endod1	0.2302	1.699
Esx1	Endod1	0.545	3.507
Ets1	Endod1	0.2623	1.829
Fosl2	Endod1	0.2192	1.656
Foxa1	Endod1	-0.2037	0.6256
Foxp3	Endod1	0.2622	1.828
Gata2	Endod1	0.2825	1.916
Gata3	Endod1	0.3843	2.422
Jun	Endod1	0.233	1.71
Klf4	Endod1	0.5795	3.797
Nkx2-5	Endod1	0.3459	2.217
Nr2f2	Endod1	0.582	3.819
Nrip1	Endod1	0.3158	2.069
Otx1	Endod1	0.2564	1.804
Otx2	Endod1	0.4091	2.565
Sox9	Endod1	0.2937	1.966
Tcf3	Endod1	0.5705	3.719
Tgif1	Endod1	-0.1777	0.6642
Zscan4c	Endod1	0.2411	1.742
Dmrt1	Endog	-0.2486	0.5641
Myc	Endog	0.1833	1.525
Sox2	Endog	-0.2126	0.6129
Foxa1	Endogl1	-0.2456	0.568
Gata2	Endogl1	-0.1808	0.6594
Gata3	Endogl1	-0.1957	0.6372
Sox11	Endogl1	0.2076	1.612
Cdx2	Eng	0.189	1.545
Dmrt1	Eng	-0.2334	0.5842
Eomes	Eng	0.2825	1.916
Ets1	Eng	0.2348	1.717
Fosl2	Eng	-0.1795	0.6614
Foxp3	Eng	-0.2176	0.6058
Irf2	Eng	0.2154	1.642
Klf3	Eng	0.2351	1.718
Klf4	Eng	0.2379	1.729
Klf9	Eng	0.1843	1.528
Rhox6	Eng	0.1932	1.56
Cdx2	Eno1	-0.2129	0.6124
Dmrt1	Eno2	0.2322	1.706
Gata2	Eno2	0.3518	2.248
Nkx2-5	Eno2	0.2327	1.708
Sox11	Eno2	-0.3086	0.4913
Tcf3	Eno2	0.2104	1.623
Ascl1	Eno3	-0.2265	0.5936
Ascl2	Eno3	-0.2723	0.5341
Cdx2	Eno3	-0.4695	0.3392
Dmrt1	Eno3	-0.2351	0.5819
Foxa1	Eno3	-0.2453	0.5684
Gata2	Eno3	-0.3351	0.4622
Gata3	Eno3	-0.1935	0.6404
Grhl2	Eno3	-0.1973	0.6348
Id1	Eno3	0.2111	1.625
Klf4	Eno3	-0.4888	0.3244
Myod1	Eno3	0.4252	2.661
Nanog	Eno3	0.1869	1.537
Nkx2-5	Eno3	0.2905	1.952
Nr0b1	Eno3	0.1898	1.548
Nr5a2	Eno3	0.481	3.026
Sfpi1	Eno3	0.1871	1.538
Sox11	Eno3	-0.3351	0.4622
Sox2	Eno3	-0.3424	0.4545
Sox7	Eno3	-0.2296	0.5893
Sox9	Eno3	-0.1969	0.6354
Tcf3	Eno3	0.2558	1.802
Tcf4	Eno3	-0.2182	0.605
Dmrt1	Enoph1	-0.2618	0.5472
Esx1	Enoph1	-0.1902	0.6453
Foxg1	Enoph1	-0.2205	0.6018
Gbx2	Enoph1	-0.1807	0.6596
Jun	Enoph1	-0.2378	0.5783
Nkx2-5	Enoph1	-0.2203	0.6021
Sox9	Enoph1	-0.2102	0.6163
Tcf3	Enoph1	-0.259	0.5508
Ascl1	Enox1	-0.3961	0.4016
Ascl2	Enox1	-0.2898	0.513
Cdx2	Enox1	-1.3459	0.045
Dmrt1	Enox1	-1.2596	0.055
Eomes	Enox1	-0.4618	0.3453
Esx1	Enox1	-1.3177	0.0481
Foxg1	Enox1	-0.324	0.4742
Foxl2	Enox1	-0.3143	0.4849
Foxp3	Enox1	-0.3387	0.4584
Gata2	Enox1	-1.5058	0.0312
Gata3	Enox1	-0.9291	0.1177
Jun	Enox1	-0.6471	0.2253
Klf4	Enox1	-0.2054	0.6231
Myc	Enox1	-0.2244	0.5964
Myod1	Enox1	-0.2532	0.5582
Nkx2-5	Enox1	-0.8674	0.1357
Nrip1	Enox1	-0.6305	0.2341
Sox9	Enox1	-0.7142	0.1931
Tcf3	Enox1	-0.7641	0.1721
Zscan4c	Enox1	-0.2612	0.548
Eomes	Enox2	-0.2441	0.57
Sall4	Enox2	-0.2479	0.565
Cdx2	Enpp1	0.6432	4.397
Dmrt1	Enpp1	0.4236	2.652
Foxa1	Enpp1	0.1886	1.543
Foxc1	Enpp1	0.4113	2.578
Gata2	Enpp1	0.3121	2.051
Irf2	Enpp1	0.1903	1.549
Jun	Enpp1	-0.2076	0.62
Nr2f2	Enpp1	-0.218	0.6053
Sox9	Enpp1	0.4299	2.69
Tcfap2c	Enpp1	-0.1806	0.6597
Bcl6	Enpp3	-0.3539	0.4426
Cdx2	Enpp3	-1.311	0.0488
Ctbp2	Enpp3	-0.1874	0.6495
Dlx3	Enpp3	-0.3263	0.4717
Dmrt1	Enpp3	-1.5499	0.0281
Elf5	Enpp3	0.2814	1.911
Eomes	Enpp3	-0.871	0.1345
Esx1	Enpp3	-0.7501	0.1777
Foxl2	Enpp3	-0.5792	0.2635
Foxp3	Enpp3	-0.435	0.3672
Gata2	Enpp3	-1.1062	0.0783
Gata3	Enpp3	-0.8389	0.1449
Gbx2	Enpp3	-0.3938	0.4038
Jun	Enpp3	-0.2857	0.5179
Klf4	Enpp3	-1.3482	0.0448
Nkx2-5	Enpp3	-1.102	0.079
Nr2f2	Enpp3	-0.6233	0.238
Sfpi1	Enpp3	-1.3709	0.0425
Sox9	Enpp3	-0.4752	0.3348
T	Enpp3	-0.3149	0.4842
Tcf3	Enpp3	-0.3446	0.4522
Tcfap2c	Enpp3	-0.2973	0.5043
Zscan4c	Enpp3	-0.2111	0.615
Cdx2	Enpp4	0.2416	1.744
Dmrt1	Enpp4	0.3569	2.274
Eomes	Enpp4	0.1965	1.572
Esx1	Enpp4	0.1863	1.535
Gbx2	Enpp4	0.2468	1.765
Nkx2-5	Enpp4	0.523	3.334
Sox11	Enpp4	-0.2194	0.6033
Sox2	Enpp4	0.3475	2.225
T	Enpp4	0.1924	1.557
Tcf3	Enpp4	0.2282	1.691
Esx1	Enpp5	0.3064	2.024
Nkx2-5	Enpp5	0.2926	1.961
Sox2	Enpp5	0.2529	1.79
Tcf3	Enpp7	-0.2484	0.5644
Gata2	Ensa	-0.2707	0.5361
Gata3	Ensa	-0.179	0.6622
Tcf3	ENSMUSG00000042857	-0.1915	0.6434
Klf4	ENSMUSG00000051562	-0.3118	0.4877
Foxg1	ENSMUSG00000052691	0.1945	1.564
Cdx2	ENSMUSG00000052976	-0.1941	0.6395
Elf1	ENSMUSG00000052976	0.244	1.753
Foxl2	ENSMUSG00000052976	-0.3302	0.4675
Mef2c	ENSMUSG00000052976	0.3158	2.069
Myod1	ENSMUSG00000052976	0.1907	1.551
Nkx2-5	ENSMUSG00000052976	0.3869	2.437
Sox11	ENSMUSG00000052976	-0.3201	0.4785
Sox2	ENSMUSG00000052976	0.2506	1.78
Sox9	ENSMUSG00000052976	0.6493	4.459
Cdx2	ENSMUSG00000053178	-0.2291	0.59
Dmrt1	ENSMUSG00000053178	-0.2624	0.5465
Esx1	ENSMUSG00000053178	-0.2118	0.614
Gata2	ENSMUSG00000053178	-0.2478	0.5651
Sfpi1	ENSMUSG00000053178	-0.211	0.6151
Sox9	ENSMUSG00000053178	-0.2209	0.6013
Tcf3	ENSMUSG00000053178	-0.2954	0.5065
Atf3	ENSMUSG00000053892	0.1997	1.583
Cdx2	ENSMUSG00000053892	0.3616	2.299
Foxg1	ENSMUSG00000053892	0.3968	2.493
Foxp3	ENSMUSG00000053892	0.2089	1.617
Gadd45a	ENSMUSG00000053892	0.1929	1.559
Gata2	ENSMUSG00000053892	-0.3851	0.412
Gata3	ENSMUSG00000053892	-0.3365	0.4607
Gbx2	ENSMUSG00000053892	-0.2222	0.5995
Hoxa9	ENSMUSG00000053892	0.2752	1.884
Mybl2	ENSMUSG00000053892	0.2152	1.641
Nr5a2	ENSMUSG00000053892	0.2075	1.612
Nrip1	ENSMUSG00000053892	0.2432	1.75
Pou5f1	ENSMUSG00000053892	0.2267	1.685
Sall4	ENSMUSG00000053892	-0.2297	0.5892
Sfpi1	ENSMUSG00000053892	-0.2	0.6309
Tbx5	ENSMUSG00000053892	0.1964	1.571
Sox9	ENSMUSG00000054044	0.3303	2.139
Eomes	ENSMUSG00000055424	-0.2424	0.5722
Klf4	ENSMUSG00000055424	-0.208	0.6194
Cdx2	ENSMUSG00000055697	0.2524	1.788
Dmrt1	ENSMUSG00000055697	0.3728	2.359
Esx1	ENSMUSG00000055697	0.2776	1.894
Foxa1	ENSMUSG00000055697	0.2124	1.63
Nkx2-5	ENSMUSG00000055697	0.2872	1.937
Sox11	ENSMUSG00000055697	0.2021	1.592
Sox2	ENSMUSG00000055697	0.287	1.936
Sox9	ENSMUSG00000055697	0.3695	2.341
Tcf3	ENSMUSG00000055697	0.3383	2.179
Bcl6	ENSMUSG00000056771	-0.3132	0.4861
Cdx2	ENSMUSG00000056771	-0.4081	0.3907
Dmrt1	ENSMUSG00000056771	0.4589	2.876
Elf1	ENSMUSG00000056771	-0.379	0.4178
Elf5	ENSMUSG00000056771	-0.2118	0.614
Klf3	ENSMUSG00000056771	-0.2851	0.5186
Msc	ENSMUSG00000056771	-0.6318	0.2334
Mybl2	ENSMUSG00000056771	-0.4891	0.3242
Nkx2-5	ENSMUSG00000056771	0.2026	1.594
Nr5a2	ENSMUSG00000056771	-0.803	0.1573
Sfpi1	ENSMUSG00000056771	-0.4688	0.3397
Sox11	ENSMUSG00000056771	-0.2501	0.5622
Tcfcp2l1	ENSMUSG00000056771	0.2006	1.587
Zic1	ENSMUSG00000056771	-0.2116	0.6143
Esx1	ENSMUSG00000057924	-0.1932	0.6409
Klf4	ENSMUSG00000057924	0.2693	1.859
Nr5a2	ENSMUSG00000057924	-0.2357	0.5811
Tcf3	ENSMUSG00000057924	-0.3162	0.4828
Cdyl2	ENSMUSG00000063277	-0.2298	0.5891
Foxa1	ENSMUSG00000063277	-0.2359	0.5808
Gata2	ENSMUSG00000063277	-0.2056	0.6228
Gata3	ENSMUSG00000063277	-0.2088	0.6183
Gbx2	ENSMUSG00000063277	-0.1795	0.6614
Klf4	ENSMUSG00000063277	-0.36	0.4365
Sox2	ENSMUSG00000063277	0.2502	1.779
Sox9	ENSMUSG00000063277	0.2381	1.73
Tcf3	ENSMUSG00000063277	0.2738	1.878
Pou5f1	ENSMUSG00000068601	-0.2635	0.5451
Bcl6	ENSMUSG00000068790	-0.1898	0.6459
Cdyl2	ENSMUSG00000068790	-0.2434	0.5709
Foxa1	ENSMUSG00000068790	-0.2542	0.5569
Gata2	ENSMUSG00000068790	-0.254	0.5571
Gata3	ENSMUSG00000068790	-0.282	0.5223
Gbx2	ENSMUSG00000068790	-0.213	0.6123
Klf4	ENSMUSG00000068790	-0.4126	0.3867
Nrip1	ENSMUSG00000068790	0.1987	1.58
Otx2	ENSMUSG00000068790	0.2327	1.708
Pou5f1	ENSMUSG00000068790	0.1872	1.538
Sox2	ENSMUSG00000068790	0.4109	2.575
Sox9	ENSMUSG00000068790	0.2885	1.943
Tcf3	ENSMUSG00000068790	0.2736	1.877
Cdx2	ENSMUSG00000070586	-0.2372	0.5791
Esx1	ENSMUSG00000070586	-0.1984	0.6332
Irf2	ENSMUSG00000070586	0.267	1.849
Klf3	ENSMUSG00000070586	0.3377	2.176
Nkx2-5	ENSMUSG00000070586	-0.2489	0.5637
Sox9	ENSMUSG00000070586	-0.5021	0.3147
Tcf3	ENSMUSG00000070586	-0.3944	0.4032
Cdx2	ENSMUSG00000071543	0.2007	1.587
Myod1	ENSMUSG00000071543	0.2786	1.899
Sox2	ENSMUSG00000071543	0.2389	1.733
Dmrt1	ENSMUSG00000072769	0.3186	2.082
Jun	ENSMUSG00000072769	0.3303	2.139
Tcf3	ENSMUSG00000072769	0.4022	2.524
Cdx2	ENSMUSG00000072877	-0.3009	0.5001
Sox9	ENSMUSG00000073039	0.4065	2.549
Atf3	ENSMUSG00000073728	-0.1995	0.6316
Cdx2	ENSMUSG00000073728	-0.2395	0.5761
Dlx3	ENSMUSG00000073728	0.3991	2.506
Dmrt1	ENSMUSG00000073728	0.2328	1.709
Esx1	ENSMUSG00000073728	0.6665	4.639
Foxa1	ENSMUSG00000073728	0.2613	1.825
Foxl2	ENSMUSG00000073728	0.3835	2.418
Gbx2	ENSMUSG00000073728	0.3322	2.148
Grhl2	ENSMUSG00000073728	0.2025	1.594
Hesx1	ENSMUSG00000073728	0.201	1.588
Msc	ENSMUSG00000073728	-0.2195	0.6032
Nkx2-5	ENSMUSG00000073728	0.3457	2.216
Sox11	ENSMUSG00000073728	-0.3729	0.4237
Sox2	ENSMUSG00000073728	0.6843	4.833
Sox9	ENSMUSG00000073728	0.456	2.857
T	ENSMUSG00000073728	-0.2082	0.6191
Tbx5	ENSMUSG00000073728	-0.2193	0.6035
Tcf3	ENSMUSG00000073728	0.3262	2.119
Tcfcp2l1	ENSMUSG00000073728	0.2536	1.793
Esx1	ENSMUSG00000074379	0.527	3.365
Jun	ENSMUSG00000074379	0.5187	3.301
Myod1	ENSMUSG00000074670	0.5846	3.842
Lhx2	ENSMUSG00000075418	0.3332	2.153
Cdx2	ENSMUSG00000076532	0.2242	1.675
Msc	ENSMUSG00000076532	0.3267	2.121
Nr5a2	ENSMUSG00000076532	0.2989	1.99
Gata3	Entpd1	0.4972	3.141
Ascl2	Entpd2	0.3266	2.121
Dmrt1	Entpd2	0.6164	4.134
Elf1	Entpd2	0.5252	3.351
Eomes	Entpd2	0.453	2.837
Esx1	Entpd2	0.7521	5.65
Ets1	Entpd2	0.2089	1.617
Fosl2	Entpd2	0.2282	1.691
Foxa1	Entpd2	0.6135	4.106
Foxc1	Entpd2	0.386	2.432
Foxl2	Entpd2	0.6464	4.429
Gata2	Entpd2	0.4339	2.715
Gata3	Entpd2	0.3454	2.215
Gbx2	Entpd2	0.3655	2.32
Hnf4a	Entpd2	0.3295	2.135
Jun	Entpd2	0.2196	1.658
Myc	Entpd2	0.2706	1.864
Nkx2-5	Entpd2	0.4978	3.146
Sfpi1	Entpd2	0.4805	3.023
Sox11	Entpd2	-0.2808	0.5238
Sox2	Entpd2	0.4784	3.008
Sox9	Entpd2	0.9007	7.956
T	Entpd2	0.2376	1.728
Tcf3	Entpd2	0.481	3.026
Tcfap2c	Entpd2	0.2374	1.727
Zic1	Entpd2	-0.2218	0.6
Zscan4c	Entpd2	0.3326	2.15
Ascl2	Entpd3	0.1978	1.576
Dlx3	Entpd3	0.4378	2.74
Dmrt1	Entpd3	0.6226	4.193
Elf5	Entpd3	-0.2414	0.5735
Eomes	Entpd3	1.061	11.508
Esx1	Entpd3	0.3072	2.028
Fosl2	Entpd3	0.2201	1.659
Foxg1	Entpd3	-0.2399	0.5755
Foxl2	Entpd3	1.3384	21.797
Gata2	Entpd3	0.2814	1.911
Gata3	Entpd3	0.2851	1.927
Gbx2	Entpd3	0.1974	1.575
Irf2	Entpd3	0.2973	1.982
Jun	Entpd3	0.8157	6.541
Nanog	Entpd3	0.2508	1.781
Nkx2-5	Entpd3	0.6713	4.691
Nr2f2	Entpd3	0.4589	2.876
Sfpi1	Entpd3	0.7687	5.87
Sox9	Entpd3	0.6373	4.338
Tbx5	Entpd3	0.8986	7.917
Tcf3	Entpd3	0.3641	2.312
Zic1	Entpd3	-0.2773	0.528
Ascl2	Entpd5	0.1961	1.57
Cdx2	Entpd5	0.367	2.328
Dlx3	Entpd5	-0.1903	0.6452
Dmrt1	Entpd5	0.3177	2.078
Elf1	Entpd5	0.7204	5.252
Esx1	Entpd5	0.2581	1.811
Gata2	Entpd5	0.2775	1.894
Cdx2	Entpd7	0.1858	1.533
Dmrt1	Entpd7	0.2558	1.802
Eomes	Entpd7	0.2182	1.652
Esx1	Entpd7	0.2563	1.804
Foxl2	Entpd7	0.1883	1.542
Gata2	Entpd7	0.2877	1.939
Gata3	Entpd7	0.3273	2.124
Jun	Entpd7	0.2273	1.687
Nkx2-5	Entpd7	0.2413	1.743
Sox9	Entpd7	0.3424	2.199
Tcf3	Entpd7	0.2555	1.8
Bcl6	Eomes	0.2882	1.941
Eomes	Eomes	1.4473	28.009
Hnf4a	Eomes	0.6346	4.311
Sox11	Eomes	0.4794	3.015
Esx1	Ep300	0.2773	1.893
Sox2	Ep300	0.3114	2.048
Foxl2	Ep400	0.2301	1.698
Cdx2	Epas1	-0.4538	0.3517
Irf2	Epas1	-0.2913	0.5113
Nkx2-5	Epas1	-0.3959	0.4018
Zscan4c	Epas1	-0.568	0.2703
Cdx2	Epb4.1	0.269	1.857
Dmrt1	Epb4.1	0.2341	1.714
Pou5f1	Epb4.1	0.1853	1.532
Sox2	Epb4.1	0.2354	1.719
Sox9	Epb4.1	0.2038	1.598
Ascl2	Epb4.1l1	-0.2178	0.6056
Bcl6	Epb4.1l1	0.2145	1.638
Cdx2	Epb4.1l1	0.2185	1.653
Esx1	Epb4.1l1	0.5369	3.442
Foxc1	Epb4.1l1	-0.2772	0.5282
Foxp3	Epb4.1l1	0.2914	1.956
Gata2	Epb4.1l1	0.2576	1.809
Gata3	Epb4.1l1	0.3004	1.997
Jun	Epb4.1l1	0.1805	1.515
Klf3	Epb4.1l1	-0.1763	0.6663
Nkx2-5	Epb4.1l1	0.2282	1.691
Sfpi1	Epb4.1l1	0.2685	1.855
Sox2	Epb4.1l1	-0.2747	0.5312
Tcf3	Epb4.1l1	0.2315	1.704
Zscan4c	Epb4.1l1	-0.183	0.6561
Cdx2	Epb4.1l2	0.1911	1.552
Klf4	Epb4.1l2	-0.1809	0.6593
Nkx2-5	Epb4.1l2	-0.3756	0.4211
Sfpi1	Epb4.1l2	0.2582	1.812
Cdx2	Epb4.1l3	0.462	2.897
Cdyl2	Epb4.1l3	-0.2466	0.5667
Dlx3	Epb4.1l3	0.3364	2.169
Dmrt1	Epb4.1l3	0.5842	3.838
Foxg1	Epb4.1l3	0.1838	1.526
Foxl2	Epb4.1l3	0.3665	2.325
Gata2	Epb4.1l3	-0.2281	0.5914
Gbx2	Epb4.1l3	-0.2669	0.5408
Hesx1	Epb4.1l3	-0.1843	0.6541
Hnf4a	Epb4.1l3	0.2516	1.784
Jun	Epb4.1l3	0.2807	1.908
Klf9	Epb4.1l3	-0.2079	0.6195
Nr2f2	Epb4.1l3	-0.3197	0.4789
Nrip1	Epb4.1l3	0.2374	1.727
Otx2	Epb4.1l3	0.1983	1.578
Tcf3	Epb4.1l3	0.2096	1.62
Cdx2	Epb4.1l4a	-0.4715	0.3376
Dlx3	Epb4.1l4a	-0.3404	0.4566
Esx1	Epb4.1l4a	-0.2632	0.5455
Gata2	Epb4.1l4a	-0.3987	0.3993
Gata3	Epb4.1l4a	-0.2031	0.6264
Klf4	Epb4.1l4a	-0.2778	0.5274
Nanog	Epb4.1l4a	0.1838	1.526
Otx2	Epb4.1l4a	-0.1829	0.6562
Dlx3	Epb4.1l4b	0.2207	1.662
Eomes	Epb4.1l4b	0.275	1.883
Nkx2-5	Epb4.1l4b	0.4603	2.886
Sox2	Epb4.1l4b	0.3476	2.226
Sox9	Epb4.1l4b	0.2406	1.74
Zic1	Epb4.1l4b	-0.1883	0.6481
Atf3	Epb4.1l5	0.1774	1.504
Dlx3	Epb4.1l5	-0.4919	0.3221
Foxl2	Epb4.1l5	0.268	1.853
Grhl2	Epb4.1l5	0.1799	1.513
Hoxa2	Epb4.1l5	-0.1971	0.6351
Jun	Epb4.1l5	0.2588	1.814
Klf3	Epb4.1l5	-0.2867	0.5167
Klf4	Epb4.1l5	-0.7342	0.1844
Msc	Epb4.1l5	0.4257	2.665
Mybl2	Epb4.1l5	0.1941	1.563
Nkx2-5	Epb4.1l5	0.1952	1.567
Nr2f2	Epb4.1l5	-0.2012	0.6292
Nrip1	Epb4.1l5	0.2685	1.855
Sox2	Epb4.1l5	-0.4048	0.3937
Sox9	Epb4.1l5	-0.22	0.6025
Suz12	Epb4.1l5	0.1816	1.519
Tbx3	Epb4.1l5	-0.1894	0.6465
Tcfap2c	Epb4.1l5	0.2142	1.637
Zic1	Epb4.1l5	0.1879	1.541
Zscan4c	Epb4.1l5	0.2436	1.752
Cdx2	Epb4.9	-0.6382	0.23
Dlx3	Epb4.9	0.5091	3.229
Dmrt1	Epb4.9	-0.4281	0.3731
Elf5	Epb4.9	-0.2421	0.5726
Esx1	Epb4.9	-0.4724	0.3369
Ets1	Epb4.9	-0.1908	0.6444
Foxa1	Epb4.9	-0.2112	0.6148
Foxc1	Epb4.9	-0.3564	0.4401
Foxg1	Epb4.9	-0.3156	0.4835
Foxl2	Epb4.9	-0.5954	0.2538
Gata2	Epb4.9	-0.2181	0.6052
Gbx2	Epb4.9	-0.2797	0.5251
Hoxa9	Epb4.9	0.1795	1.511
Jun	Epb4.9	-0.4021	0.3961
Klf3	Epb4.9	-0.327	0.4709
Klf4	Epb4.9	0.2091	1.618
Msc	Epb4.9	0.2007	1.587
Myod1	Epb4.9	-0.1891	0.6469
Pou5f1	Epb4.9	-0.4487	0.3558
Sfpi1	Epb4.9	-0.5843	0.2604
Smad7	Epb4.9	-0.2055	0.623
Sox9	Epb4.9	-0.2352	0.5818
Tcf3	Epb4.9	-0.5663	0.2714
Tcf4	Epb4.9	0.1911	1.552
Tgif1	Epb4.9	-0.1857	0.652
Zscan4c	Epb4.9	-0.3524	0.4442
Nr0b1	Epc1	-0.198	0.6338
Esx1	Epc2	-0.2263	0.5938
Nkx2-5	Epc2	-0.1878	0.6489
Sox2	Epc2	0.2558	1.802
Cdx2	Epdr1	-0.5307	0.2946
Dlx3	Epdr1	-0.4098	0.3892
Dmrt1	Epdr1	-0.2267	0.5933
Eomes	Epdr1	-0.3489	0.4478
Esx1	Epdr1	-0.4275	0.3736
Foxl2	Epdr1	-0.2736	0.5325
Gata2	Epdr1	-0.3649	0.4316
Gata3	Epdr1	-0.2615	0.5476
Gbx2	Epdr1	-0.216	0.6081
Klf4	Epdr1	-0.2703	0.5366
Nkx2-5	Epdr1	-0.3471	0.4496
Nr2f2	Epdr1	-0.2205	0.6018
Rxra	Epdr1	-0.1795	0.6614
Sfpi1	Epdr1	-0.2038	0.6254
Sox2	Epdr1	-0.299	0.5023
Sox9	Epdr1	-0.2283	0.5911
Elf1	Epgn	-0.2298	0.5891
Esx1	Epgn	-0.2024	0.6274
Foxl2	Epgn	-0.1862	0.6513
Gata2	Epgn	-0.2632	0.5455
Gata3	Epgn	-0.2224	0.5992
Gbx2	Epgn	-0.3003	0.5008
Nkx2-5	Epgn	-0.2015	0.6287
Sox11	Epgn	0.2122	1.63
Tcf3	Epgn	-0.2748	0.5311
Ascl2	Epha1	-0.3456	0.4512
Cdx2	Epha1	-0.2008	0.6297
Ctbp2	Epha1	0.3604	2.292
Dlx3	Epha1	-0.2666	0.5412
Eomes	Epha1	-0.5717	0.2681
Foxa1	Epha1	-0.2122	0.6134
Foxg1	Epha1	0.5079	3.22
Gata2	Epha1	-0.4715	0.3376
Gata3	Epha1	-0.3594	0.4371
Hoxa9	Epha1	-0.2688	0.5385
Jun	Epha1	-0.208	0.6194
Klf3	Epha1	0.2747	1.882
Klf4	Epha1	-0.6092	0.2459
Lhx2	Epha1	-0.285	0.5188
Mef2c	Epha1	-0.313	0.4864
Msc	Epha1	0.1921	1.556
Mybl2	Epha1	0.2143	1.637
Myc	Epha1	-0.2762	0.5294
Nkx2-5	Epha1	-0.3067	0.4935
Nr2f2	Epha1	-0.3519	0.4447
Nrip1	Epha1	0.3195	2.086
Pou5f1	Epha1	0.2742	1.88
Sox2	Epha1	0.2116	1.627
Sox7	Epha1	-0.333	0.4645
Sox9	Epha1	-0.6026	0.2496
T	Epha1	-0.1861	0.6514
Tcf3	Epha1	-0.3311	0.4665
Tcfap2c	Epha1	-0.2909	0.5117
Otx2	Epha10	0.6292	4.257
Ascl1	Epha2	-0.4153	0.3843
Ascl2	Epha2	-0.3285	0.4693
Bcl6	Epha2	0.2274	1.688
Cdx2	Epha2	-0.2659	0.5421
Dmrt1	Epha2	-0.4404	0.3627
Eomes	Epha2	-0.5434	0.2861
Foxg1	Epha2	0.2577	1.81
Gata2	Epha2	-0.3625	0.434
Gata3	Epha2	-0.1844	0.654
Jun	Epha2	-0.222	0.5997
Msc	Epha2	0.2315	1.704
Mybl2	Epha2	0.2241	1.675
Myod1	Epha2	-0.3285	0.4693
Nkx2-5	Epha2	-0.3113	0.4883
Nr2f1	Epha2	-0.209	0.618
Nr2f2	Epha2	-0.3255	0.4726
Nr5a2	Epha2	0.2991	1.991
Pou5f1	Epha2	-0.2524	0.5592
Sfpi1	Epha2	0.2754	1.885
Sox11	Epha2	0.3661	2.323
Sox2	Epha2	-0.2823	0.522
Sox9	Epha2	-0.3889	0.4084
Tcfap2c	Epha2	-0.2806	0.524
Ascl1	Epha4	0.2755	1.885
Ascl2	Epha4	0.209	1.618
Cdyl2	Epha4	0.1774	1.504
Esx1	Epha4	-0.3593	0.4372
Etv3	Epha4	0.1883	1.542
Foxp3	Epha4	-0.2231	0.5982
Gadd45a	Epha4	0.184	1.527
Gata2	Epha4	0.1905	1.55
Gata3	Epha4	0.3455	2.215
Hnf4a	Epha4	-0.1928	0.6415
Hoxa2	Epha4	0.1779	1.506
Myc	Epha4	-0.1771	0.6651
Myod1	Epha4	0.1984	1.579
Nkx2-5	Epha4	-0.3756	0.4211
Nrip1	Epha4	-0.4081	0.3907
Sfpi1	Epha4	0.2857	1.93
Sox11	Epha4	-0.2037	0.6256
Sox2	Epha4	0.2618	1.827
Sox7	Epha4	0.2153	1.641
T	Epha4	-0.3296	0.4681
Tcfap2c	Epha4	0.187	1.538
Ascl1	Epha7	0.4782	3.007
Ascl2	Epha7	0.3485	2.231
Bcl6	Epha7	0.2864	1.933
Cdx2	Epha7	0.2742	1.88
Dlx3	Epha7	0.211	1.625
Dmrt1	Epha7	0.333	2.152
Elf1	Epha7	-0.2466	0.5667
Elf5	Epha7	0.1979	1.577
Eomes	Epha7	-0.327	0.4709
Esx1	Epha7	-0.5784	0.2639
Fosl2	Epha7	-0.1868	0.6504
Foxa1	Epha7	0.41	2.57
Foxg1	Epha7	0.4812	3.028
Foxl2	Epha7	0.42	2.63
Gadd45a	Epha7	-0.3175	0.4813
Gata2	Epha7	-0.4266	0.3744
Gata3	Epha7	-0.1778	0.664
Gbx2	Epha7	-0.2263	0.5938
Hesx1	Epha7	-0.2335	0.5841
Hoxa2	Epha7	0.2915	1.956
Id1	Epha7	-0.2499	0.5624
Jun	Epha7	-0.3885	0.4087
Klf4	Epha7	-0.3011	0.4999
Lhx2	Epha7	-0.2937	0.5085
Meis2	Epha7	-0.2167	0.6071
Nrip1	Epha7	0.2769	1.891
Sall4	Epha7	-0.2734	0.5328
Sfpi1	Epha7	-0.1905	0.6449
Sox11	Epha7	0.1943	1.564
Sox2	Epha7	0.4073	2.554
Sox7	Epha7	0.2001	1.585
Sox9	Epha7	-0.2135	0.6116
Tcf3	Epha7	0.4279	2.678
